road,id,model_type,name,lat,lon,length
N1,LRP328a,bridge,bridge 336,21.7715943354948,92.0821099546075,300.0
N1,LRP331a,bridge,bridge 337,21.7401466184971,92.0826243745664,9.3
N1,LRP332a,bridge,bridge 338,21.7385629191489,92.0831876319149,14.0
N1,LRP332b,bridge,bridge 339,21.7326068595588,92.0837488330882,5.2
N1,LRP332c,bridge,bridge 340,21.7309878314917,92.0838156441988,38.8
N1,LRP333a,bridge,bridge 341,21.7240739341074,92.083544148476,12.6
N1,LRP335a,bridge,bridge 342,21.7092513759013,92.0806750603415,12.8
N1,LRP336a,bridge,bridge 343,21.7028300370967,92.0786456251612,9.3
N1,LRP339a,bridge,bridge 344,21.676279289928,92.0768074748201,59.6
N1,LRP339c,bridge,bridge 345,21.6721049602836,92.0763992531915,14.0
N1,LRP340a,bridge,bridge 346,21.6629404415143,92.075071645953,3.5
N1,LRP341a,bridge,bridge 347,21.6600543017045,92.0751025664772,54.03
N1,LRP342a,bridge,bridge 348,21.6508560658227,92.0735619202531,61.0
N1,LRP342c,bridge,bridge 349,21.6480847609561,92.0733292227091,4.5
N1,LRP345a,bridge,bridge 350,21.6225351880109,92.0737034768392,1.45
N1,LRP346a,bridge,bridge 351,21.618376660401,92.0691713375939,45.3
N1,LRP347a,bridge,bridge 352,21.6065189670012,92.0623070695106,7.0
N1,LRP347b,bridge,bridge 353,21.6051753127979,92.0621198087829,5.2
N1,LRP348a,bridge,bridge 354,21.5985935301507,92.061801241206,9.3
N1,LRP348b,bridge,bridge 355,21.5960736973421,92.0614095408637,14.0
N1,LRP349a,bridge,bridge 356,21.5894309740196,92.0630313509804,1.4
N1,LRP349b,bridge,bridge 357,21.5876028,92.0649047857142,4.5
N1,LRP350a,bridge,bridge 358,21.5830741250341,92.0657158465116,2.5
N1,LRP351a,bridge,bridge 359,21.5744075162901,92.0707446712247,12.4
N1,LRP352a,bridge,bridge 360,21.5623201688888,92.0698139251851,9.5
N1,LRP353a,bridge,bridge 361,21.5603042595174,92.0691476,4.8
N1,LRP353b,bridge,bridge 362,21.5594892512064,92.0689481,7.0
N1,LRP354a,bridge,bridge 363,21.5554256122448,92.0679503244898,46.0
N1,LRP354d,bridge,bridge 364,21.5470666065573,92.0668953754098,44.6
N1,LRP357a,bridge,bridge 365,21.5255297395348,92.0653252244186,14.0
N1,LRP357c,bridge,bridge 366,21.5237332279069,92.0655747598837,8.0
N1,LRP357d,bridge,bridge 367,21.5207709407407,92.0661440629629,15.4
N1,LRP357f,bridge,bridge 368,21.5195088091891,92.0666746302702,5.0
N1,LRP358a,bridge,bridge 369,21.5137419731132,92.069340890566,3.0
N1,LRP358b,bridge,bridge 370,21.5104396976562,92.0708606554687,2.5
N1,LRP359a,bridge,bridge 371,21.5065069274647,92.0733026419014,7.5
N1,LRP359b,bridge,bridge 372,21.5051319429577,92.0744452552816,12.4
N1,LRP360a,bridge,bridge 373,21.4957534922651,92.0776785856353,14.0
N1,LRP360c,bridge,bridge 374,21.4948695143646,92.0783346952486,14.1
N1,LRP363b,bridge,bridge 375,21.4782130684357,92.0947151779329,7.2
N1,LRP364a,bridge,bridge 376,21.4755164496,92.0967866511999,14.0
N1,LRP364c,bridge,bridge 377,21.4738446327586,92.0980125862068,3.0
N1,LRP364d,bridge,bridge 378,21.470055530337,92.1006402232209,57.65
